,label
292,7
293,1
294,1
295,7
296,5
297,8
298,6
299,6
300,8
301,8
302,8
303,5
304,2
305,1
306,3
307,5
308,7
309,3
310,8
311,1
312,1
313,8
314,8
315,8
316,8
317,6
318,8
319,9
320,8
321,6
322,6
323,6
324,8
325,6
326,8
327,6
328,2
329,8
330,1
331,8
332,9
333,1
334,1
335,8
336,2
337,9
338,2
339,7
340,4
341,2
342,1
343,2
344,2
345,1
346,6
347,3
348,1
349,1
350,7
351,1
352,1
353,1
354,4
355,4
356,1
357,4
358,7
359,8
360,8
361,4
362,8
363,7
364,6
365,6
366,6
367,9
368,6
369,9
370,7
371,9
372,9
373,5
374,3
375,1
376,1
377,8
378,8
379,3
380,3
381,4
382,6
383,3
384,3
385,2
386,5
387,5
388,1
389,4
390,7
391,1
392,8
393,3
394,1
395,8
396,1
397,1
398,4
399,6
400,3
401,2
402,9
403,8
404,6
405,2
406,2
407,3
408,6
409,1
410,8
411,2
412,3
413,1
414,6
415,7
416,9
417,1
418,7
419,9
420,8
421,8
422,1
423,3
424,7
425,4
426,2
427,6
428,6
429,5
430,6
431,5
432,9
433,4
434,3
435,1
436,2
437,6
438,7
439,4
440,4
441,1
442,6
443,4
444,1
445,2
446,1
447,2
448,3
449,4
450,3
451,1
452,9
453,1
454,5
455,6
456,8
457,5
458,7
459,2
460,8
461,6
462,9
463,8
464,8
465,6
466,8
467,6
468,4
469,8
470,8
471,6
472,3
473,1
474,2
475,3
476,1
477,4
478,1
479,9
480,7
481,8
482,6
483,6
484,8
485,8
486,7
487,3
488,1
489,9
490,4
491,4
492,1
493,1
494,3
495,2
496,5
497,3
498,3
499,4
500,2
501,4
502,5
503,5
504,5
505,1
506,5
507,7
508,5
509,8
510,5
511,4
512,3
513,2
514,4
515,8
516,9
517,2
518,7
519,5
520,9
521,8
522,4
523,6
524,4
525,2
526,1
527,1
528,1
529,3
530,6
531,9
532,9
533,1
534,9
535,1
536,7
537,4
538,7
539,4
540,7
541,1
542,8
543,8
544,3
545,7
546,8
547,3
548,9
549,1
550,1
551,4
552,8
553,8
554,1
555,5
556,6
557,1
558,6
559,4
560,1
561,4
562,1
563,1
564,6
565,6
566,5
567,1
568,1
569,6
570,7
571,5
572,2
573,4
574,2
575,2
576,1
577,2
578,6
579,3
580,8
581,5
582,3
583,4
584,4
585,8
586,8
587,1
588,1
589,8
590,1
591,3
592,4
593,3
594,3
595,1
596,6
597,6
598,6
599,4
600,5
601,3
602,1
603,4
604,9
605,4
606,4
607,1
608,1
609,8
610,6
611,1
612,5
613,9
614,6
615,9
616,4
617,1
618,3
619,1
620,2
621,3
622,1
623,1
624,8
625,7
626,8
627,5
628,9
629,1
630,1
631,1
632,7
633,3
634,1
635,1
636,8
637,1
638,2
639,2
640,6
641,6
642,1
643,6
644,4
645,4
646,3
647,6
648,4
649,1
650,2
651,1
652,6
653,1
654,2
655,9
656,1
657,6
658,8
659,9
660,7
661,6
662,2
663,6
664,3
665,7
666,8
667,1
668,1
669,7
670,3
671,1
672,7
673,7
674,1
675,6
676,9
677,1
678,1
679,8
680,3
681,3
682,6
683,7
684,1
685,8
686,7
687,7
688,7
689,4
690,8
691,7
692,2
693,1
694,5
695,7
696,1
697,1
698,4
699,7
700,3
701,7
702,7
703,9
704,8
705,7
706,6
707,6
708,5
709,5
710,9
711,4
712,2
713,5
714,7
715,3
716,4
717,7
718,7
719,7
720,4
721,3
722,6
723,5
724,8
725,2
726,3
727,9
728,6
729,2
730,1
731,1
732,8
733,1
734,8
735,8
736,7
737,2
738,2
739,5
740,5
741,9
742,3
743,6
744,6
745,6
746,9
747,1
748,1
749,7
750,3
751,5
752,4
753,6
754,4
755,9
756,2
757,1
758,1
759,7
760,8
761,5
762,6
763,4
764,6
765,9
766,8
767,3
768,5
769,6
770,7
771,3
772,5
773,9
774,7
775,6
776,8
777,8
778,5
779,3
780,7
781,1
782,7
783,4
784,3
785,1
786,1
787,1
788,4
789,4
790,8
791,8
792,2
793,6
794,1
795,3
796,7
797,5
798,4
799,4
800,8
801,6
802,6
803,1
804,5
805,3
806,3
807,8
808,8
809,7
810,3
811,4
812,6
813,5
814,8
815,9
816,2
817,7
818,1
819,2
820,8
821,8
822,8
823,7
824,6
825,3
826,6
827,7
828,1
829,8
830,4
831,7
832,6
833,4
834,2
835,1
836,2
837,6
838,8
839,3
840,1
841,4
842,1
843,1
844,8
845,8
846,2
847,2
848,4
849,2
850,6
851,9
852,6
853,2
854,1
855,9
856,9
857,6
858,7
859,6
860,1
861,7
862,3
863,2
864,7
865,8
866,8
867,9
868,6
869,7
870,4
871,5
872,8
873,7
874,7
875,3
876,1
877,4
878,2
879,2
880,5
881,3
882,5
883,9
884,7
885,9
886,8
887,1
888,5
889,4
890,4
891,3
892,8
893,4
894,6
895,8
896,8
897,1
898,8
899,1
900,7
901,7
902,2
903,3
904,3
905,8
906,2
907,7
908,7
909,4
910,5
911,2
912,8
913,8
914,8
915,8
916,9
917,8
918,8
919,8
920,9
921,8
922,8
923,8
924,9
925,9
926,5
927,7
928,6
929,1
930,1
931,1
932,2
933,1
934,7
935,6
936,6
937,7
938,7
939,5
940,1
941,1
942,9
943,1
944,8
945,1
946,7
947,4
948,5
949,3
950,6
951,3
952,6
953,3
954,7
955,5
956,6
957,5
958,6
959,7
960,6
961,7
962,5
963,8
964,6
965,7
966,6
967,7
968,3
969,5
970,3
971,6
972,1
973,2
974,1
975,4
976,1
977,2
978,7
979,5
980,6
981,5
982,3
983,4
984,6
985,6
986,4
987,5
988,5
989,3
990,5
991,5
992,3
993,7
994,2
995,2
996,2
997,6
998,5
999,5
1000,3
1001,7
1002,7
1003,7
1004,6
1005,1
1006,7
1007,6
1008,5
1009,5
1010,7
1011,6
1012,4
1013,3
1014,4
1015,4
1016,8
1017,9
1018,4
1019,4
1020,2
1021,2
1022,7
1023,5
1024,1
1025,5
1026,4
1027,6
1028,9
1029,8
1030,9
1031,2
1032,2
1033,2
1034,9
1035,9
1036,8
1037,8
1038,8
1039,6
1040,4
1041,3
1042,6
1043,1
1044,1
1045,3
1046,1
1047,1
1048,2
1049,4
1050,5
1051,5
1052,2
1053,4
1054,2
1055,3
1056,2
1057,1
1058,4
1059,4
1060,1
1061,7
1062,7
1063,7
1064,7
1065,4
1066,6
1067,4
1068,5
1069,5
1070,6
1071,8
1072,8
1073,9
1074,8
1075,8
1076,6
1077,2
1078,3
1079,1
1080,1
1081,5
1082,8
1083,9
1084,1
1085,3
1086,6
1087,7
1088,4
1089,4
1090,1
1091,7
1092,4
1093,6
1094,2
1095,5
1096,1
1097,3
1098,4
1099,7
1100,4
1101,6
1102,1
1103,2
1104,9
1105,7
1106,2
1107,6
1108,4
1109,9
1110,9
1111,4
1112,5
1113,8
1114,3
1115,7
1116,6
1117,6
1118,5
1119,1
1120,6
1121,5
1122,3
1123,6
1124,3
1125,8
1126,8
1127,9
1128,8
1129,9
1130,8
1131,9
1132,9
1133,4
1134,2
1135,1
1136,6
1137,1
1138,5
1139,4
1140,5
1141,1
1142,4
1143,6
1144,1
1145,1
1146,2
1147,3
1148,3
1149,1
1150,1
1151,5
1152,1
1153,7
1154,2
1155,1
1156,1
1157,1
1158,7
1159,6
1160,7
1161,5
1162,5
1163,7
1164,3
1165,8
1166,4
1167,8
1168,1
1169,8
1170,8
1171,8
1172,8
1173,8
1174,8
1175,2
1176,1
1177,7
1178,1
1179,7
1180,1
1181,4
1182,4
1183,3
1184,1
1185,8
1186,9
1187,9
1188,9
1189,9
1190,9
1191,9
1192,8
1193,8
1194,8
1195,7
1196,4
1197,7
1198,5
1199,5
1200,7
1201,2
1202,2
1203,2
1204,3
1205,5
1206,6
1207,2
1208,1
1209,1
1210,2
1211,4
1212,1
1213,1
1214,1
1215,5
1216,1
1217,6
1218,5
1219,3
1220,2
1221,3
1222,3
1223,7
1224,7
1225,6
1226,2
1227,2
1228,5
1229,4
1230,1
1231,1
1232,6
1233,2
1234,3
1235,7
1236,1
1237,4
1238,2
1239,1
1240,1
1241,4
1242,7
1243,9
1244,9
1245,9
1246,5
1247,8
1248,8
1249,9
1250,1
1251,2
1252,1
1253,1
1254,1
1255,1
1256,5
1257,8
1258,8
1259,8
1260,9
1261,2
1262,6
1263,6
1264,6
1265,2
1266,2
1267,3
1268,1
1269,2
1270,4
1271,6
1272,6
1273,5
1274,7
1275,1
1276,1
1277,1
1278,1
1279,9
1280,2
1281,6
1282,4
1283,7
1284,1
1285,9
1286,7
1287,1
1288,6
1289,5
1290,3
1291,8
1292,9
1293,5
1294,8
1295,7
1296,4
1297,6
1298,1
1299,1
1300,2
1301,3
1302,3
1303,7
1304,2
1305,6
1306,7
1307,8
1308,7
1309,7
1310,4
1311,7
1312,2
1313,5
1314,4
1315,7
1316,5
1317,6
1318,1
1319,7
1320,3
1321,4
1322,1
1323,2
1324,1
1325,2
1326,5
1327,1
1328,1
1329,1
1330,1
1331,4
1332,2
1333,2
1334,2
1335,1
1336,1
1337,1
1338,9
1339,7
1340,4
1341,2
1342,4
1343,6
1344,6
1345,6
1346,5
1347,4
1348,4
1349,4
1350,1
1351,3
1352,5
1353,7
1354,6
1355,1
1356,1
1357,5
1358,4
1359,2
1360,2
1361,7
1362,8
1363,8
1364,9
1365,9
1366,8
1367,9
1368,2
1369,5
1370,2
1371,2
1372,6
1373,3
1374,1
1375,1
1376,1
1377,5
1378,3
1379,7
1380,1
1381,3
1382,3
1383,6
1384,1
1385,6
1386,9
1387,8
1388,9
1389,8
1390,8
1391,1
1392,8
1393,8
1394,8
1395,8
1396,3
1397,5
1398,1
1399,5
1400,1
1401,2
1402,2
1403,1
1404,2
1405,2
1406,6
1407,2
1408,3
1409,1
1410,4
1411,2
1412,1
1413,1
1414,2
1415,5
1416,4
1417,1
1418,5
1419,4
1420,4
1421,5
1422,3
1423,2
1424,7
1425,6
1426,4
1427,1
1428,2
1429,5
1430,1
1431,6
1432,1
1433,4
1434,1
1435,5
1436,5
1437,4
1438,4
1439,6
1440,7
1441,4
1442,5
1443,4
1444,8
1445,8
1446,1
1447,3
1448,1
1449,2
1450,4
1451,3
1452,2
1453,6
1454,5
1455,3
1456,7
1457,2
1458,5
1459,6
1460,7
1461,4
1462,6
1463,2
1464,8
1465,4
1466,4
1467,1
1468,7
1469,7
1470,6
1471,3
1472,6
1473,7
1474,1
1475,3
1476,1
1477,1
1478,6
1479,4
1480,7
1481,4
1482,2
1483,1
1484,1
1485,7
1486,3
1487,1
1488,6
1489,1
1490,4
1491,6
1492,5
1493,1
1494,7
1495,2
1496,5
1497,5
1498,1
1499,6
1500,6
1501,1
1502,1
1503,7
1504,1
1505,7
1506,2
1507,1
1508,1
1509,1
1510,1
1511,6
1512,1
1513,1
1514,1
1515,2
1516,6
1517,1
1518,7
1519,2
1520,7
1521,6
1522,3
1523,3
1524,6
1525,1
1526,1
1527,1
1528,8
1529,1
1530,3
1531,2
1532,4
1533,1
1534,8
1535,8
1536,8
1537,8
1538,8
1539,8
1540,8
1541,8
1542,8
1543,8
1544,8
1545,7
1546,8
1547,8
1548,2
1549,9
1550,1
1551,3
1552,6
1553,1
1554,2
1555,4
1556,1
1557,1
1558,2
1559,1
1560,7
1561,8
1562,8
1563,1
1564,8
1565,7
1566,2
1567,7
1568,8
1569,8
1570,8
1571,8
1572,7
1573,9
1574,8
1575,8
1576,8
1577,2
1578,8
1579,8
1580,8
1581,8
1582,8
1583,8
1584,8
1585,8
1586,8
1587,8
1588,8
1589,8
1590,8
1591,8
1592,3
1593,1
1594,6
1595,3
1596,1
1597,4
1598,2
1599,3
1600,1
1601,1
1602,4
1603,2
1604,5
1605,6
1606,1
1607,7
1608,7
1609,3
1610,1
1611,2
1612,2
1613,1
1614,3
1615,1
1616,4
1617,1
1618,3
1619,3
1620,1
1621,4
1622,3
1623,1
1624,1
1625,4
1626,1
1627,8
1628,9
1629,8
1630,8
1631,8
1632,8
1633,8
1634,8
1635,1
1636,8
1637,8
1638,8
1639,8
1640,8
1641,3
1642,5
1643,1
1644,2
1645,1
1646,6
1647,7
1648,1
1649,2
1650,1
1651,5
1652,1
1653,1
1654,2
1655,1
1656,1
1657,1
1658,9
1659,8
1660,1
1661,8
1662,8
1663,9
1664,8
1665,2
1666,2
1667,1
1668,1
1669,4
1670,2
1671,5
1672,1
1673,2
1674,4
1675,2
1676,3
1677,4
1678,5
1679,2
1680,2
1681,2
1682,2
1683,2
1684,5
1685,5
1686,2
1687,6
1688,7
1689,6
1690,5
1691,5
1692,4
1693,1
1694,3
1695,2
1696,5
1697,1
1698,6
1699,6
1700,6
1701,7
1702,6
1703,7
1704,2
1705,3
1706,2
1707,3
1708,3
1709,2
1710,2
1711,1
1712,3
1713,4
1714,2
1715,8
1716,7
1717,4
1718,7
1719,7
1720,6
1721,2
1722,6
1723,2
1724,2
1725,8
1726,8
1727,8
1728,5
1729,1
1730,2
1731,7
1732,1
1733,5
1734,7
1735,6
1736,2
1737,2
1738,6
1739,1
1740,3
1741,6
1742,1
1743,7
1744,7
1745,7
1746,7
1747,1
1748,8
1749,9
1750,4
1751,1
1752,1
1753,3
1754,8
1755,6
1756,3
1757,5
1758,6
1759,6
1760,6
1761,8
1762,1
1763,5
1764,4
1765,8
1766,5
1767,4
1768,8
1769,1
1770,5
1771,4
1772,4
1773,2
1774,1
1775,3
1776,5
1777,6
1778,6
1779,8
1780,1
1781,7
1782,1
1783,1
1784,2
1785,4
1786,3
1787,6
1788,4
1789,3
1790,4
1791,9
1792,1
1793,5
1794,1
1795,1
1796,1
1797,3
1798,4
1799,1
1800,3
1801,6
1802,1
1803,6
1804,6
1805,5
1806,5
1807,1
1808,8
1809,9
1810,3
1811,6
1812,2
1813,9
1814,9
1815,5
1816,8
1817,2
1818,7
1819,3
1820,8
1821,1
1822,3
1823,3
1824,6
1825,1
1826,6
1827,6
1828,1
1829,4
1830,4
1831,5
1832,1
1833,4
1834,4
1835,9
1836,1
1837,1
1838,3
1839,2
1840,3
1841,6
1842,6
1843,1
1844,1
1845,1
1846,4
1847,1
1848,6
1849,1
1850,1
1851,4
1852,4
1853,5
1854,8
1855,3
1856,4
1857,1
1858,3
1859,1
1860,1
1861,1
1862,4
1863,1
1864,1
1865,4
1866,3
1867,7
1868,6
1869,7
1870,1
1871,8
1872,1
1873,5
1874,9
1875,3
1876,1
1877,2
1878,6
1879,1
1880,6
1881,5
1882,1
1883,1
1884,6
1885,7
1886,7
1887,7
1888,1
1889,1
1890,7
1891,7
1892,1
1893,4
1894,9
1895,6
1896,8
1897,8
1898,4
1899,2
1900,1
1901,7
1902,4
1903,6
1904,7
1905,6
1906,3
1907,6
1908,9
1909,8
1910,3
1911,4
1912,4
1913,7
1914,5
1915,1
1916,6
1917,2
1918,4
1919,1
1920,4
1921,1
1922,6
1923,3
1924,4
1925,4
1926,1
1927,2
1928,4
1929,1
1930,1
1931,1
1932,9
1933,2
1934,7
1935,8
1936,8
1937,1
1938,8
1939,8
1940,1
1941,8
1942,1
1943,9
1944,6
1945,2
1946,7
1947,8
1948,2
1949,5
1950,2
1951,4
1952,1
1953,1
1954,6
1955,6
1956,5
1957,6
1958,4
1959,5
1960,7
1961,6
1962,4
1963,1
1964,2
1965,8
1966,6
1967,5
1968,2
1969,4
1970,3
1971,1
1972,1
1973,1
1974,8
1975,6
1976,2
1977,9
1978,6
1979,1
1980,8
1981,6
1982,5
1983,7
1984,7
1985,3
1986,5
1987,1
1988,6
1989,2
1990,3
1991,1
1992,1
1993,6
1994,1
1995,7
1996,2
1997,4
1998,2
1999,3
2000,3
2001,1
2002,6
2003,8
2004,3
2005,2
2006,8
2007,1
2008,1
2009,6
2010,5
2011,9
2012,4
2013,1
2014,5
2015,1
2016,6
2017,2
2018,4
2019,6
2020,2
2021,2
2022,8
2023,1
2024,1
2025,1
2026,3
2027,1
2028,3
2029,6
2030,1
2031,2
2032,1
2033,8
2034,2
2035,3
2036,4
2037,1
2038,1
2039,6
2040,4
2041,6
2042,3
2043,2
2044,7
2045,3
2046,1
2047,3
2048,1
2049,8
2050,9
2051,8
2052,1
2053,1
2054,1
2055,3
2056,7
2057,1
2058,1
2059,2
2060,1
2061,2
2062,1
2063,7
2064,7
2065,1
2066,2
2067,7
2068,7
2069,7
2070,1
2071,2
2072,1
2073,6
2074,8
2075,6
2076,7
2077,1
2078,8
2079,6
2080,2
2081,1
2082,8
2083,6
2084,3
2085,1
2086,1
2087,1
2088,1
2089,4
2090,8
2091,4
2092,1
2093,6
2094,3
2095,4
2096,3
2097,5
2098,7
2099,1
2100,1
2101,1
2102,6
2103,3
2104,1
2105,5
2106,6
2107,6
2108,2
2109,7
2110,3
2111,9
2112,1
2113,1
2114,6
2115,3
2116,5
2117,3
2118,9
2119,4
2120,5
2121,2
2122,4
2123,2
2124,1
2125,1
2126,1
2127,1
2128,1
2129,5
2130,7
2131,1
2132,8
2133,4
2134,2
2135,2
2136,4
2137,1
2138,1
2139,1
2140,2
2141,1
2142,1
2143,4
2144,6
2145,1
2146,1
2147,7
2148,7
2149,3
2150,7
2151,1
2152,1
2153,1
2154,6
2155,4
2156,7
2157,5
2158,1
2159,3
2160,7
2161,1
2162,6
2163,5
2164,8
2165,8
2166,5
2167,1
2168,3
2169,2
2170,2
2171,4
2172,3
2173,7
2174,2
2175,5
2176,7
2177,1
2178,4
2179,5
2180,6
2181,6
2182,6
2183,3
2184,2
2185,5
2186,5
2187,2
2188,4
2189,5
2190,3
2191,7
2192,7
2193,7
2194,7
2195,6
2196,2
2197,3
2198,1
2199,1
2200,1
2201,2
2202,1
2203,1
2204,1
2205,1
2206,3
2207,7
2208,1
2209,2
2210,8
2211,1
2212,8
2213,1
2214,1
2215,1
2216,2
2217,1
2218,8
2219,8
2220,8
2221,9
2222,1
2223,1
2224,1
2225,7
2226,2
2227,1
2228,3
2229,5
2230,1
2231,4
2232,2
2233,1
2234,5
2235,2
2236,1
2237,1
2238,1
2239,6
2240,1
2241,2
2242,1
2243,1
2244,1
2245,1
2246,1
2247,3
2248,2
2249,1
2250,4
2251,2
2252,4
2253,1
2254,1
2255,5
2256,3
2257,1
2258,1
2259,2
2260,1
2261,2
2262,1
2263,3
2264,8
2265,4
2266,1
2267,2
2268,1
2269,1
2270,2
2271,1
2272,9
2273,1
2274,8
2275,8
2276,8
2277,4
2278,1
2279,4
2280,5
2281,5
2282,1
2283,1
2284,5
2285,1
2286,7
2287,1
2288,5
2289,8
2290,7
2291,6
2292,5
2293,7
2294,1
2295,5
2296,1
2297,5
2298,1
2299,1
2300,1
2301,1
2302,2
2303,1
2304,1
2305,7
2306,8
2307,1
2308,1
2309,1
2310,2
2311,1
2312,8
2313,8
2314,9
2315,9
2316,8
2317,9
2318,9
2319,8
2320,1
2321,9
2322,8
2323,1
2324,8
2325,1
2326,1
2327,1
2328,9
2329,9
2330,1
2331,9
2332,9
2333,8
2334,9
2335,8
2336,9
2337,9
2338,7
2339,9
2340,8
2341,9
2342,8
2343,8
2344,9
2345,9
2346,9
2347,9
2348,9
2349,8
2350,8
2351,8
2352,9
2353,8
2354,9
2355,8
2356,9
2357,7
2358,6
2359,5
2360,7
2361,7
2362,6
2363,1
2364,4
2365,6
2366,1
2367,2
2368,1
2369,2
2370,1
2371,5
2372,6
2373,1
2374,3
2375,1
2376,3
2377,1
2378,1
2379,2
2380,2
2381,5
2382,6
2383,1
2384,1
2385,6
2386,1
2387,6
2388,2
2389,3
2390,5
2391,7
2392,1
2393,1
2394,6
2395,6
2396,6
2397,1
2398,6
2399,4
2400,6
2401,6
2402,4
2403,2
2404,6
2405,1
2406,1
2407,1
2408,9
2409,8
2410,9
2411,9
2412,1
2413,1
2414,7
2415,1
2416,1
2417,1
2418,1
2419,5
2420,1
2421,1
2422,1
2423,6
2424,7
2425,3
2426,2
2427,6
2428,9
2429,1
2430,6
2431,6
2432,1
2433,4
2434,7
2435,2
2436,5
2437,7
2438,3
2439,7
2440,6
2441,6
2442,6
2443,3
2444,9
2445,4
2446,8
2447,8
2448,8
2449,9
2450,8
2451,9
2452,8
2453,9
2454,9
2455,9
2456,8
2457,8
2458,8
2459,8
2460,8
2461,9
2462,8
2463,9
2464,8
2465,8
2466,9
2467,6
2468,1
2469,4
2470,5
2471,2
2472,7
2473,6
2474,4
2475,3
2476,7
2477,3
2478,7
2479,6
2480,1
2481,6
2482,6
2483,4
2484,3
2485,3
2486,9
2487,8
2488,8
2489,9
2490,8
2491,8
2492,5
2493,9
2494,9
2495,8
2496,8
2497,9
2498,8
2499,8
2500,8
2501,9
2502,9
2503,8
2504,8
2505,9
2506,8
2507,9
2508,9
2509,9
2510,9
2511,5
2512,6
2513,6
2514,7
2515,7
2516,2
2517,5
2518,6
2519,6
2520,6
2521,6
2522,6
2523,6
2524,1
2525,2
2526,3
2527,6
2528,6
2529,6
2530,2
2531,6
2532,7
2533,4
2534,3
2535,7
2536,7
2537,5
2538,6
2539,7
2540,2
2541,6
2542,2
2543,2
2544,1
2545,7
2546,3
2547,2
2548,4
2549,4
2550,3
2551,1
2552,6
2553,7
2554,6
2555,7
2556,7
2557,4
2558,6
2559,2
2560,7
2561,5
2562,4
2563,7
2564,3
2565,7
2566,3
2567,6
2568,4
2569,4
2570,6
2571,5
2572,6
2573,2
2574,5
2575,5
2576,8
2577,8
2578,9
2579,9
2580,8
2581,9
2582,9
2583,8
2584,8
2585,9
2586,8
2587,8
2588,9
2589,8
2590,9
2591,9
2592,9
2593,8
2594,8
2595,9
2596,9
2597,9
2598,8
2599,9
2600,8
2601,8
2602,7
2603,3
2604,6
2605,7
2606,1
2607,7
2608,7
2609,7
2610,7
2611,9
2612,9
2613,3
2614,4
2615,6
2616,5
2617,6
2618,9
2619,9
2620,4
2621,8
2622,7
2623,5
2624,5
2625,7
2626,4
2627,7
2628,6
2629,8
2630,9
2631,9
2632,9
2633,1
2634,6
2635,5
2636,8
2637,8
2638,6
2639,9
2640,8
2641,7
2642,6
2643,7
2644,9
2645,8
2646,6
2647,6
2648,9
2649,9
2650,1
2651,1
2652,5
2653,9
2654,8
2655,7
2656,4
2657,5
2658,8
2659,5
2660,4
2661,3
2662,7
2663,8
2664,8
2665,8
2666,8
2667,7
2668,7
2669,8
2670,9
2671,8
2672,6
2673,5
2674,1
2675,6
2676,9
2677,9
2678,2
2679,8
2680,5
2681,1
2682,9
2683,7
2684,8
2685,8
2686,9
2687,4
2688,9
2689,1
2690,3
2691,8
2692,9
2693,8
2694,3
2695,1
2696,5
2697,1
2698,2
2699,1
2700,8
2701,7
2702,8
2703,1
2704,7
2705,7
2706,8
2707,8
2708,4
2709,2
2710,5
2711,6
2712,2
2713,4
2714,7
2715,1
2716,8
2717,1
2718,3
2719,8
2720,5
2721,3
2722,3
2723,1
2724,1
2725,9
2726,6
2727,8
2728,9
2729,4
2730,5
2731,8
2732,5
2733,3
2734,9
2735,5
2736,6
2737,2
2738,6
2739,2
2740,7
2741,9
2742,7
2743,6
2744,9
2745,8
2746,4
2747,1
2748,7
2749,7
2750,9
2751,6
2752,6
2753,6
2754,9
2755,7
2756,9
2757,8
2758,7
2759,6
2760,8
2761,9
2762,7
2763,4
2764,9
2765,6
2766,1
2767,1
2768,6
2769,9
2770,9
2771,7
2772,6
2773,4
2774,8
2775,9
2776,1
2777,8
2778,8
2779,9
2780,9
2781,9
2782,3
2783,5
2784,5
2785,1
2786,9
2787,6
2788,5
2789,4
2790,7
2791,7
2792,7
2793,7
2794,6
2795,5
2796,4
2797,6
2798,4
2799,8
2800,9
2801,4
2802,2
2803,9
2804,8
2805,9
2806,8
2807,8
2808,9
2809,1
2810,1
2811,1
2812,1
2813,3
2814,4
2815,1
2816,4
2817,7
2818,6
2819,3
2820,6
2821,2
2822,5
2823,1
2824,1
2825,1
2826,6
2827,2
2828,7
2829,1
2830,4
2831,1
2832,3
2833,6
2834,3
2835,1
2836,9
2837,8
2838,8
2839,8
2840,9
2841,8
2842,1
2843,4
2844,5
2845,8
2846,8
2847,8
2848,8
2849,8
2850,9
2851,8
2852,8
2853,9
2854,9
2855,8
2856,9
2857,9
2858,9
2859,9
2860,8
2861,9
2862,8
2863,8
2864,7
2865,5
2866,1
2867,5
2868,7
2869,8
2870,5
2871,1
2872,1
2873,9
2874,9
2875,8
2876,1
2877,9
2878,8
2879,8
2880,8
2881,5
2882,7
2883,1
2884,1
2885,5
2886,4
2887,6
2888,9
2889,9
2890,7
2891,9
2892,5
2893,7
2894,2
2895,6
2896,1
2897,7
2898,9
2899,5
2900,9
2901,6
2902,6
2903,8
2904,1
2905,2
2906,8
2907,8
2908,8
2909,8
2910,2
2911,9
2912,9
2913,6
2914,7
2915,8
2916,9
2917,1
2918,1
2919,9
2920,7
2921,8
2922,9
2923,9
2924,6
2925,7
2926,1
2927,2
2928,7
2929,4
2930,2
2931,4
2932,8
2933,7
2934,6
2935,2
2936,2
2937,4
2938,1
2939,4
2940,7
2941,8
2942,7
2943,9
2944,8
2945,8
2946,4
2947,3
2948,5
2949,1
2950,1
2951,2
2952,9
2953,9
2954,7
2955,6
2956,3
2957,5
2958,8
2959,8
2960,1
2961,1
2962,9
2963,8
2964,9
2965,7
2966,9
2967,5
2968,1
2969,1
2970,1
2971,1
2972,6
2973,1
2974,3
2975,9
2976,4
2977,8
2978,3
2979,7
2980,6
2981,3
2982,1
2983,1
2984,9
2985,8
2986,3
2987,4
2988,7
2989,7
2990,6
2991,6
2992,5
2993,5
2994,7
2995,8
2996,1
2997,9
